rest_area_id,rest_area_name,highway,direction,zone,rest_area_type,latitude,longitude,daily_visitors_estimate,lighting_score,sanitation_score,accessibility_score,crowding_score,emergency_support_score,verified_report_score,night_traffic_index,occupancy_index,incident_count_12m,response_time_min,cleaning_frequency_weekly,inspection_age_days
RA-001,Maple Junction,NH-49,Northbound,North Corridor,Standard,18.03,73.02,389,78,45,39,85,55,53,78,41,4,17,2,27
RA-002,Riverbend Stop,NH-50,Both,Central Corridor,Standard,18.06,73.04,1296,43,51,52,70,76,39,61,58,3,22,6,21
RA-003,Sunrise Plaza,NH-51,Southbound,Western Corridor,Standard,18.09,73.06,620,86,89,48,82,65,59,83,73,0,6,8,44
RA-004,Cedar View,NH-52,Northbound,Southern Corridor,Scenic,18.12,73.08,1278,60,92,60,76,54,89,42,78,0,21,6,180
RA-005,Highland Rest,NH-48,Both,North Corridor,Full Service,18.15,73.1,273,77,94,93,61,74,50,77,59,6,13,3,79
RA-006,Lakeway Haven,NH-49,Southbound,Central Corridor,Standard,18.18,73.12,938,93,44,62,55,67,78,57,56,5,12,13,38
RA-007,Meadow Point,NH-50,Northbound,Western Corridor,Scenic,18.21,73.14,957,76,78,48,72,84,53,52,58,5,14,14,34
RA-008,Pinecrest Stop,NH-51,Southbound,Southern Corridor,Full Service,18.24,73.16,612,52,90,40,89,58,63,93,70,1,24,9,121
RA-009,Silver Route,NH-52,Northbound,North Corridor,Standard,18.27,73.18,1329,94,96,79,67,47,54,69,63,5,22,8,169
RA-010,Valley Gate,NH-48,Northbound,Central Corridor,Full Service,18.3,73.2,404,63,61,52,46,70,69,44,50,6,17,11,36
RA-011,Greenfield Rest,NH-49,Both,Western Corridor,Full Service,18.33,73.22,414,62,62,76,67,71,54,78,64,6,24,7,48
RA-012,Summit Oasis,NH-50,Both,Southern Corridor,Truck-Oriented,18.36,73.24,1205,56,65,48,67,38,84,83,52,4,7,12,96
RA-013,Golden Mile,NH-51,Southbound,North Corridor,Standard,18.39,73.26,1284,91,78,70,76,50,47,84,30,4,14,9,24
RA-014,Riverside Bay,NH-52,Northbound,Central Corridor,Full Service,18.42,73.28,673,45,61,94,91,89,57,91,40,0,19,3,156
RA-015,Oakline Stop,NH-48,Northbound,Western Corridor,Truck-Oriented,18.45,73.3,1260,87,46,46,80,68,73,90,84,1,21,14,71
RA-016,Harbor View,NH-49,Southbound,Southern Corridor,Scenic,18.48,73.32,427,83,57,63,80,79,61,50,58,0,14,2,170
